dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,3,437,0.9976958525345622,0.9908466819221968
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,2,68,0.9444444444444444,1.0
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,U,24,1.0,1.0
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,4,0,,
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,5,41,1.0,1.0
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,1,5,1.0,0.8
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,3,431,0.9976635514018691,0.9907192575406032
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,2,66,0.9428571428571428,1.0
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,U,24,1.0,1.0
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,4,0,,
annealing,svm,ratiorange,231,0.02792,567,0.08536,57344,0.99118,5,41,1.0,1.0
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,1,5,1.0,0.8
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,3,425,0.9976303317535545,0.9905882352941177
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,2,66,0.9428571428571428,1.0
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,U,24,1.0,1.0
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,4,0,,
annealing,svm,ratiorange,239,0.02884,559,0.08406,61440,0.99106,5,39,1.0,1.0
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,1,5,1.0,0.8
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,3,418,0.9976133651551312,1.0
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,2,65,1.0,1.0
